"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2021-09-15,"21:00","Group stage","Estadio Wanda Metropolitano","2021/2022","Atlético Madrid es","pt Porto",0,0,0.3,1.6,"D"
2021-09-28,"18:45","Group stage","Johan Cruyff ArenA","2021/2022","Ajax nl","tr Beşiktaş",2,0,3.5,0.9,"H"
2021-09-28,"19:45","Group stage","NSK Olimpijs'kyj","2021/2022","Shakhtar ua","it Inter",0,0,1.3,1,"D"
2021-09-28,"20:00","Group stage","Estádio Do Dragão","2021/2022","Porto pt","eng Liverpool",1,5,0.9,3.4,"A"
2021-09-28,"21:00","Group stage","Estadio Santiago Bernabéu","2021/2022","Real Madrid es","md Sheriff Tiraspol",1,2,3.1,0.4,"A"
2021-09-28,"21:00","Group stage","Red Bull Arena","2021/2022","RB Leipzig de","be Club Brugge",1,2,1.3,1.4,"A"
2021-09-28,"21:00","Group stage","Signal Iduna Park","2021/2022","Dortmund de","pt Sporting CP",1,0,0.3,0.4,"H"
2021-09-28,"21:00","Group stage","Parc des Princes","2021/2022","Paris S-G fr","eng Manchester City",2,0,0.4,1.9,"H"
2021-09-28,"21:00","Group stage","Stadio Giuseppe Meazza","2021/2022","Milan it","es Atlético Madrid",1,2,0.7,2.1,"A"
2021-09-29,"18:45","Group stage","Stadio Atleti Azzurri d'Italia","2021/2022","Atalanta it","ch Young Boys",1,0,2.5,0.1,"H"
2021-09-29,"19:45","Group stage","Gazprom Arena","2021/2022","Zenit ru","se Malmö",4,0,2.5,0.5,"H"
2021-09-29,"20:00","Group stage","Old Trafford","2021/2022","Manchester Utd eng","es Villarreal",2,1,1.1,2.3,"H"
2021-09-29,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2021/2022","Benfica pt","es Barcelona",3,0,1.9,1.2,"H"
2021-09-29,"21:00","Group stage","Red Bull Arena","2021/2022","RB Salzburg at","fr Lille",2,1,2.1,0.5,"H"
2021-09-29,"21:00","Group stage","Allianz Stadium","2021/2022","Juventus it","eng Chelsea",1,0,0.9,1.3,"H"
2021-09-29,"21:00","Group stage","Allianz Arena","2021/2022","Bayern Munich de","ua Dynamo Kyiv",5,0,2.7,0.3,"H"
2021-09-29,"21:00","Group stage","Volkswagen Arena","2021/2022","Wolfsburg de","es Sevilla",1,1,1.2,1.1,"D"
2021-10-19,"18:45","Group stage","Jan Breydelstadion","2021/2022","Club Brugge be","eng Manchester City",1,5,0.6,4.7,"A"
2021-10-19,"19:45","Group stage","Vodafone Arena","2021/2022","Beşiktaş tr","pt Sporting CP",1,4,0.9,4.4,"A"
2021-10-19,"20:00","Group stage","Estádio Do Dragão","2021/2022","Porto pt","it Milan",1,0,1.1,0.2,"H"
2021-10-19,"21:00","Group stage","Estadio Wanda Metropolitano","2021/2022","Atlético Madrid es","eng Liverpool",2,3,2.2,1.3,"A"
2021-10-19,"21:00","Group stage","Stadio Giuseppe Meazza","2021/2022","Inter it","md Sheriff Tiraspol",3,1,2.3,0.4,"H"
2021-10-19,"21:00","Group stage","Parc des Princes","2021/2022","Paris S-G fr","de RB Leipzig",3,2,3,2.1,"H"
2021-10-19,"21:00","Group stage","Johan Cruyff ArenA","2021/2022","Ajax nl","de Dortmund",4,0,2.1,1.2,"H"
2021-10-19,"22:00","Group stage","Oblasny SportKomplex Metalist","2021/2022","Shakhtar ua","es Real Madrid",0,5,0.7,2.6,"A"
2021-10-20,"18:45","Group stage","Red Bull Arena","2021/2022","RB Salzburg at","de Wolfsburg",3,1,2.7,0.9,"H"
2021-10-20,"18:45","Group stage","Camp Nou","2021/2022","Barcelona es","ua Dynamo Kyiv",1,0,2.2,0.1,"H"
2021-10-20,"20:00","Group stage","Old Trafford","2021/2022","Manchester Utd eng","it Atalanta",3,2,2.8,1.6,"H"
2021-10-20,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2021/2022","Benfica pt","de Bayern Munich",0,4,0.7,3,"A"
2021-10-20,"20:00","Group stage","Stamford Bridge","2021/2022","Chelsea eng","se Malmö",4,0,2.6,0.1,"H"
2021-10-20,"21:00","Group stage","Stade Pierre-Mauroy","2021/2022","Lille fr","es Sevilla",0,0,0.8,1.1,"D"
2021-10-20,"21:00","Group stage","Wankdorfstadion","2021/2022","Young Boys ch","es Villarreal",1,4,2.7,2.7,"A"
2021-10-20,"22:00","Group stage","Gazprom Arena","2021/2022","Zenit ru","it Juventus",0,1,0.6,1.2,"A"
2021-11-02,"18:45","Group stage","Volkswagen Arena","2021/2022","Wolfsburg de","at RB Salzburg",2,1,1.7,1.6,"H"
2021-11-02,"18:45","Group stage","Eleda Stadion","2021/2022","Malmö se","eng Chelsea",0,1,0.2,2.5,"A"
2021-11-02,"21:00","Group stage","Allianz Arena","2021/2022","Bayern Munich de","pt Benfica",5,2,4.8,1,"H"
2021-11-02,"21:00","Group stage","Stadio Atleti Azzurri d'Italia","2021/2022","Atalanta it","eng Manchester Utd",2,2,1.5,1.1,"D"
2021-11-02,"21:00","Group stage","Estadio de la Cerámica","2021/2022","Villarreal es","ch Young Boys",2,0,2.2,1.1,"H"
2021-11-02,"21:00","Group stage","Allianz Stadium","2021/2022","Juventus it","ru Zenit",4,2,2.7,1.3,"H"
2021-11-02,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2021/2022","Sevilla es","fr Lille",1,2,1,1.9,"A"
2021-11-02,"22:00","Group stage","NSK Olimpijs'kyj","2021/2022","Dynamo Kyiv ua","es Barcelona",0,1,1.1,1.1,"A"
2021-11-03,"18:45","Group stage","Stadio Giuseppe Meazza","2021/2022","Milan it","pt Porto",1,1,0.6,1.8,"D"
2021-11-03,"18:45","Group stage","Estadio Santiago Bernabéu","2021/2022","Real Madrid es","ua Shakhtar",2,1,2,1.3,"H"
2021-11-03,"20:00","Group stage","Etihad Stadium","2021/2022","Manchester City eng","be Club Brugge",4,1,4.6,0.8,"H"
2021-11-03,"20:00","Group stage","Estádio José Alvalade","2021/2022","Sporting CP pt","tr Beşiktaş",4,0,2.7,1.1,"H"
2021-11-03,"20:00","Group stage","Anfield","2021/2022","Liverpool eng","es Atlético Madrid",2,0,3,0.2,"H"
2021-11-03,"21:00","Group stage","Red Bull Arena","2021/2022","RB Leipzig de","fr Paris S-G",2,2,3.3,2.1,"D"
2021-11-03,"21:00","Group stage","Signal Iduna Park","2021/2022","Dortmund de","nl Ajax",1,3,1.7,2,"A"
2021-11-03,"22:00","Group stage","Bolshaya Sportivnaya Arena","2021/2022","Sheriff Tiraspol md","it Inter",1,3,0.3,2.5,"A"
2021-11-23,"18:45","Group stage","Estadio de la Cerámica","2021/2022","Villarreal es","eng Manchester Utd",0,2,0.6,1.2,"A"
2021-11-23,"19:45","Group stage","NSK Olimpijs'kyj","2021/2022","Dynamo Kyiv ua","de Bayern Munich",1,2,1.1,1,"A"
2021-11-23,"20:00","Group stage","Stamford Bridge","2021/2022","Chelsea eng","it Juventus",4,0,3,0.7,"H"
2021-11-23,"21:00","Group stage","Camp Nou","2021/2022","Barcelona es","pt Benfica",0,0,1.4,1.2,"D"
2021-11-23,"21:00","Group stage","Stade Pierre-Mauroy","2021/2022","Lille fr","at RB Salzburg",1,0,0.7,0.5,"H"
2021-11-23,"21:00","Group stage","Stade de Suisse Wankdorf Bern","2021/2022","Young Boys ch","it Atalanta",3,3,0.7,1.2,"D"
2021-11-23,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2021/2022","Sevilla es","de Wolfsburg",2,0,1.6,0.3,"H"
2021-11-23,"21:00","Group stage","Eleda Stadion","2021/2022","Malmö se","ru Zenit",1,1,0.2,1.9,"D"
2021-11-24,"18:45","Group stage","Stadio Giuseppe Meazza","2021/2022","Inter it","ua Shakhtar",2,0,2.6,0.6,"H"
2021-11-24,"20:00","Group stage","Etihad Stadium","2021/2022","Manchester City eng","fr Paris S-G",2,1,2.1,1,"H"
2021-11-24,"20:00","Group stage","Estádio José Alvalade","2021/2022","Sporting CP pt","de Dortmund",3,1,1.9,1.6,"H"
2021-11-24,"20:00","Group stage","Anfield","2021/2022","Liverpool eng","pt Porto",2,0,0.6,1.1,"H"
2021-11-24,"20:45","Group stage","Vodafone Arena","2021/2022","Beşiktaş tr","nl Ajax",1,2,1.9,2.5,"A"
2021-11-24,"21:00","Group stage","Estadio Wanda Metropolitano","2021/2022","Atlético Madrid es","it Milan",0,1,0.9,1.3,"A"
2021-11-24,"21:00","Group stage","Jan Breydelstadion","2021/2022","Club Brugge be","de RB Leipzig",0,5,0.9,3.8,"A"
2021-11-24,"22:00","Group stage","Bolshaya Sportivnaya Arena","2021/2022","Sheriff Tiraspol md","es Real Madrid",0,3,1.4,1.5,"A"
2021-12-07,"18:45","Group stage","Parc des Princes","2021/2022","Paris S-G fr","be Club Brugge",4,1,3.6,1.1,"H"
2021-12-07,"18:45","Group stage","Red Bull Arena","2021/2022","RB Leipzig de","eng Manchester City",2,1,1.7,1.2,"H"
2021-12-07,"20:00","Group stage","Estádio Do Dragão","2021/2022","Porto pt","es Atlético Madrid",1,3,1.6,3.7,"A"
2021-12-07,"21:00","Group stage","Estadio Santiago Bernabéu","2021/2022","Real Madrid es","it Inter",2,0,1.2,0.9,"H"
2021-12-07,"21:00","Group stage","Signal Iduna Park","2021/2022","Dortmund de","tr Beşiktaş",5,0,3.5,0.1,"H"
2021-12-07,"21:00","Group stage","Johan Cruyff ArenA","2021/2022","Ajax nl","pt Sporting CP",4,2,2.1,1.2,"H"
2021-12-07,"21:00","Group stage","Stadio Giuseppe Meazza","2021/2022","Milan it","eng Liverpool",1,2,1.4,1.9,"A"
2021-12-07,"22:00","Group stage","Oblasny SportKomplex Metalist","2021/2022","Shakhtar ua","md Sheriff Tiraspol",1,1,2,1,"D"
2021-12-08,"18:45","Group stage","Allianz Stadium","2021/2022","Juventus it","se Malmö",1,0,2.1,0.2,"H"
2021-12-08,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2021/2022","Benfica pt","ua Dynamo Kyiv",2,0,1.1,1,"H"
2021-12-08,"20:00","Group stage","Old Trafford","2021/2022","Manchester Utd eng","ch Young Boys",1,1,1.2,1.3,"D"
2021-12-08,"20:45","Group stage","Gazprom Arena","2021/2022","Zenit ru","eng Chelsea",3,3,2.6,2.7,"D"
2021-12-08,"21:00","Group stage","Allianz Arena","2021/2022","Bayern Munich de","es Barcelona",3,0,2.4,0.4,"H"
2021-12-08,"21:00","Group stage","Volkswagen Arena","2021/2022","Wolfsburg de","fr Lille",1,3,0.7,2.5,"A"
2021-12-08,"21:00","Group stage","Red Bull Arena","2021/2022","RB Salzburg at","es Sevilla",1,0,0.6,0.9,"H"
2021-12-09,"19:00","Group stage","Stadio Atleti Azzurri d'Italia","2021/2022","Atalanta it","es Villarreal",2,3,2,2.2,"A"
2022-02-15,"20:00","Round of 16","Estádio José Alvalade","2021/2022","Sporting CP pt","eng Manchester City",0,5,0.1,2.1,"A"
2022-02-15,"21:00","Round of 16","Parc des Princes","2021/2022","Paris S-G fr","es Real Madrid",1,0,2,0.2,"H"
2022-02-16,"21:00","Round of 16","Red Bull Arena","2021/2022","RB Salzburg at","de Bayern Munich",1,1,1.1,2.3,"D"
2022-02-16,"21:00","Round of 16","Stadio Giuseppe Meazza","2021/2022","Inter it","eng Liverpool",0,2,0.6,1,"A"
2022-02-22,"20:00","Round of 16","Stamford Bridge","2021/2022","Chelsea eng","fr Lille",2,0,1.2,0.8,"H"
2022-02-22,"21:00","Round of 16","Estadio de la Cerámica","2021/2022","Villarreal es","it Juventus",1,1,1.3,0.7,"D"
2022-02-23,"20:00","Round of 16","Estádio do Sport Lisboa e Benfica","2021/2022","Benfica pt","nl Ajax",2,2,1.7,2.1,"D"
2022-02-23,"21:00","Round of 16","Estadio Wanda Metropolitano","2021/2022","Atlético Madrid es","eng Manchester Utd",1,1,1.3,0.6,"D"
2022-03-08,"20:00","Round of 16","Anfield","2021/2022","Liverpool eng","it Inter",0,1,1.8,0.5,"A"
2022-03-08,"21:00","Round of 16","Allianz Arena","2021/2022","Bayern Munich de","at RB Salzburg",7,1,4.2,0.7,"H"
2022-03-09,"20:00","Round of 16","Etihad Stadium","2021/2022","Manchester City eng","pt Sporting CP",0,0,1.5,0.8,"D"
2022-03-09,"21:00","Round of 16","Estadio Santiago Bernabéu","2021/2022","Real Madrid es","fr Paris S-G",3,1,2,0.8,"H"
2022-03-15,"20:00","Round of 16","Old Trafford","2021/2022","Manchester Utd eng","es Atlético Madrid",0,1,1,0.5,"A"
2022-03-15,"21:00","Round of 16","Johan Cruyff ArenA","2021/2022","Ajax nl","pt Benfica",0,1,1.3,0.4,"A"
2022-03-16,"21:00","Round of 16","Stade Pierre-Mauroy","2021/2022","Lille fr","eng Chelsea",1,2,1.7,1,"A"
2022-03-16,"21:00","Round of 16","Allianz Stadium","2021/2022","Juventus it","es Villarreal",0,3,1.5,2.5,"A"
2022-04-05,"20:00","Quarter-finals","Estádio do Sport Lisboa e Benfica","2021/2022","Benfica pt","eng Liverpool",1,3,1.2,3.9,"A"
2022-04-05,"20:00","Quarter-finals","Etihad Stadium","2021/2022","Manchester City eng","es Atlético Madrid",1,0,1,0,"H"
2022-04-06,"20:00","Quarter-finals","Stamford Bridge","2021/2022","Chelsea eng","es Real Madrid",1,3,1.3,1.8,"A"
2022-04-06,"21:00","Quarter-finals","Estadio de la Cerámica","2021/2022","Villarreal es","de Bayern Munich",1,0,1.5,1.6,"H"
2022-04-12,"21:00","Quarter-finals","Allianz Arena","2021/2022","Bayern Munich de","es Villarreal",1,1,1.4,0.7,"D"
2022-04-12,"21:00","Quarter-finals","Estadio Santiago Bernabéu","2021/2022","Real Madrid es","eng Chelsea",2,3,1.2,2.7,"A"
2022-04-13,"20:00","Quarter-finals","Anfield","2021/2022","Liverpool eng","pt Benfica",3,3,1.8,1.2,"D"
2022-04-13,"21:00","Quarter-finals","Estadio Wanda Metropolitano","2021/2022","Atlético Madrid es","eng Manchester City",0,0,0.8,1.2,"D"
2022-04-26,"20:00","Semi-finals","Etihad Stadium","2021/2022","Manchester City eng","es Real Madrid",4,3,2.7,1.6,"H"
2022-04-27,"20:00","Semi-finals","Anfield","2021/2022","Liverpool eng","es Villarreal",2,0,1.6,0.1,"H"
2022-05-03,"21:00","Semi-finals","Estadio de la Cerámica","2021/2022","Villarreal es","eng Liverpool",2,3,1.2,2.5,"A"
2022-05-04,"21:00","Semi-finals","Estadio Santiago Bernabéu","2021/2022","Real Madrid es","eng Manchester City",3,1,2.3,1.4,"H"
2022-05-28,"21:30","Final","Stade de France (Neutral Site)","2021/2022","Liverpool eng","es Real Madrid",0,1,2.2,0.9,"A"
2022-09-06,"18:45","Group stage","Stadion Maksimir","2022/2023","Dinamo Zagreb hr","eng Chelsea",1,0,0.6,0.9,"H"
2022-09-06,"18:45","Group stage","Signal Iduna Park","2022/2023","Dortmund de","dk FC Copenhagen",3,0,2.3,0.5,"H"
2022-09-06,"20:00","Group stage","Celtic Park","2022/2023","Celtic sct","es Real Madrid",0,3,1.4,1.9,"A"
2022-09-06,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2022/2023","Benfica pt","il Maccabi Haifa",2,0,0.9,0.1,"H"
2022-09-06,"21:00","Group stage","Red Bull Arena","2022/2023","RB Salzburg at","it Milan",1,1,1.3,0.9,"D"
2022-09-06,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2022/2023","Sevilla es","eng Manchester City",0,4,0.3,3.6,"A"
2022-09-06,"21:00","Group stage","Red Bull Arena","2022/2023","RB Leipzig de","ua Shakhtar",1,4,1.4,0.9,"A"
2022-09-06,"21:00","Group stage","Parc des Princes","2022/2023","Paris S-G fr","it Juventus",2,1,1.7,1,"H"
2022-09-07,"18:45","Group stage","Johan Cruyff ArenA","2022/2023","Ajax nl","sct Rangers",4,0,2.1,0.1,"H"
2022-09-07,"18:45","Group stage","Deutsche Bank Park","2022/2023","Eint Frankfurt de","pt Sporting CP",0,3,0.8,0.9,"A"
2022-09-07,"20:00","Group stage","Tottenham Hotspur Stadium","2022/2023","Tottenham eng","fr Marseille",2,0,1.5,0.4,"H"
2022-09-07,"21:00","Group stage","Stadio Diego Armando Maradona","2022/2023","Napoli it","eng Liverpool",4,1,4,1,"H"
2022-09-07,"21:00","Group stage","Estadio Cívitas Metropolitano","2022/2023","Atlético Madrid es","pt Porto",2,1,0.8,2,"H"
2022-09-07,"21:00","Group stage","Camp Nou","2022/2023","Barcelona es","cz Viktoria Plzeň",5,1,2.3,0.8,"H"
2022-09-07,"21:00","Group stage","Stadio Giuseppe Meazza","2022/2023","Inter it","de Bayern Munich",0,2,0.7,2.5,"A"
2022-09-07,"21:00","Group stage","Jan Breydelstadion","2022/2023","Club Brugge be","de Leverkusen",1,0,0.5,1,"H"
2022-09-13,"17:45","Group stage","Estádio José Alvalade","2022/2023","Sporting CP pt","eng Tottenham",2,0,0.9,0.9,"H"
2022-09-13,"18:45","Group stage","Doosan Arena","2022/2023","Viktoria Plzeň cz","it Inter",0,2,0.3,1.9,"A"
2022-09-13,"20:00","Group stage","Anfield","2022/2023","Liverpool eng","nl Ajax",2,1,2.2,0.3,"H"
2022-09-13,"20:00","Group stage","Estádio Do Dragão","2022/2023","Porto pt","be Club Brugge",0,4,1,2.7,"A"
2022-09-13,"21:00","Group stage","BayArena","2022/2023","Leverkusen de","es Atlético Madrid",2,0,1.8,0.9,"H"
2022-09-13,"21:00","Group stage","Orange Vélodrome","2022/2023","Marseille fr","de Eint Frankfurt",0,1,0.9,1.2,"A"
2022-09-13,"21:00","Group stage","Allianz Arena","2022/2023","Bayern Munich de","es Barcelona",2,0,1.7,2,"H"
2022-09-14,"18:45","Group stage","Stadio Giuseppe Meazza","2022/2023","Milan it","hr Dinamo Zagreb",3,1,2.2,0.4,"H"
2022-09-14,"19:45","Group stage","Stadion Miejski Legii Warszawa im. Marsz...","2022/2023","Shakhtar ua","sct Celtic",1,1,0.4,1.5,"D"
2022-09-14,"20:00","Group stage","Ibrox Stadium","2022/2023","Rangers sct","it Napoli",0,3,1.3,3.5,"A"
2022-09-14,"20:00","Group stage","Stamford Bridge","2022/2023","Chelsea eng","at RB Salzburg",1,1,1.2,0.4,"D"
2022-09-14,"20:00","Group stage","Etihad Stadium","2022/2023","Manchester City eng","de Dortmund",2,1,1,0.7,"H"
2022-09-14,"21:00","Group stage","Parken","2022/2023","FC Copenhagen dk","es Sevilla",0,0,0.7,0.8,"D"
2022-09-14,"21:00","Group stage","Allianz Stadium","2022/2023","Juventus it","pt Benfica",1,2,0.8,2.2,"A"
2022-09-14,"21:00","Group stage","Estadio Santiago Bernabéu","2022/2023","Real Madrid es","de RB Leipzig",2,0,0.9,0.7,"H"
2022-09-14,"22:00","Group stage","Sammy Ofer Stadium","2022/2023","Maccabi Haifa il","fr Paris S-G",1,3,1,1.8,"A"
2022-10-04,"18:45","Group stage","Allianz Arena","2022/2023","Bayern Munich de","cz Viktoria Plzeň",5,0,2.4,0.5,"H"
2022-10-04,"18:55","Group stage","Orange Vélodrome","2022/2023","Marseille fr","pt Sporting CP",4,1,2.5,0.4,"H"
2022-10-04,"20:00","Group stage","Anfield","2022/2023","Liverpool eng","sct Rangers",2,0,2.9,0.4,"H"
2022-10-04,"20:00","Group stage","Estádio Do Dragão","2022/2023","Porto pt","de Leverkusen",2,0,1.1,1.4,"H"
2022-10-04,"21:00","Group stage","Deutsche Bank Park","2022/2023","Eint Frankfurt de","eng Tottenham",0,0,1,1.5,"D"
2022-10-04,"21:00","Group stage","Stadio Giuseppe Meazza","2022/2023","Inter it","es Barcelona",1,0,0.2,0.5,"H"
2022-10-04,"21:00","Group stage","Johan Cruyff ArenA","2022/2023","Ajax nl","it Napoli",1,6,1.4,3.3,"A"
2022-10-04,"21:00","Group stage","Jan Breydelstadion","2022/2023","Club Brugge be","es Atlético Madrid",2,0,1.3,2.1,"H"
2022-10-05,"18:45","Group stage","Red Bull Arena","2022/2023","RB Leipzig de","sct Celtic",3,1,2.2,0.9,"H"
2022-10-05,"18:45","Group stage","Red Bull Arena","2022/2023","RB Salzburg at","hr Dinamo Zagreb",1,0,2.2,0.7,"H"
2022-10-05,"20:00","Group stage","Stamford Bridge","2022/2023","Chelsea eng","it Milan",3,0,1.1,0.4,"H"
2022-10-05,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2022/2023","Benfica pt","fr Paris S-G",1,1,1.4,1,"D"
2022-10-05,"20:00","Group stage","Etihad Stadium","2022/2023","Manchester City eng","dk FC Copenhagen",5,0,4.3,0.4,"H"
2022-10-05,"21:00","Group stage","Estadio Santiago Bernabéu","2022/2023","Real Madrid es","ua Shakhtar",2,1,3.4,0.8,"H"
2022-10-05,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2022/2023","Sevilla es","de Dortmund",1,4,2,2.5,"A"
2022-10-05,"21:00","Group stage","Allianz Stadium","2022/2023","Juventus it","il Maccabi Haifa",3,1,2.3,2,"H"
2022-10-11,"18:45","Group stage","Parken","2022/2023","FC Copenhagen dk","eng Manchester City",0,0,0.3,1.6,"D"
2022-10-11,"19:45","Group stage","Sammy Ofer Stadium","2022/2023","Maccabi Haifa il","it Juventus",2,0,0.8,0.5,"H"
2022-10-11,"20:00","Group stage","Celtic Park","2022/2023","Celtic sct","de RB Leipzig",0,2,2,1.7,"A"
2022-10-11,"21:00","Group stage","Signal Iduna Park","2022/2023","Dortmund de","es Sevilla",1,1,0.4,0.8,"D"
2022-10-11,"21:00","Group stage","Parc des Princes","2022/2023","Paris S-G fr","pt Benfica",1,1,1.2,1.2,"D"
2022-10-11,"21:00","Group stage","Stadio Giuseppe Meazza","2022/2023","Milan it","eng Chelsea",0,2,0.4,2.2,"A"
2022-10-11,"21:00","Group stage","Stadion Maksimir","2022/2023","Dinamo Zagreb hr","at RB Salzburg",1,1,0.9,1.3,"D"
2022-10-11,"22:00","Group stage","Stadion Miejski Legii Warszawa im. Marsz...","2022/2023","Shakhtar ua","es Real Madrid",1,1,0.5,1.1,"D"
2022-10-12,"18:45","Group stage","Stadio Diego Armando Maradona","2022/2023","Napoli it","nl Ajax",4,2,3.2,1.6,"H"
2022-10-12,"18:45","Group stage","Estadio Cívitas Metropolitano","2022/2023","Atlético Madrid es","be Club Brugge",0,0,2.3,0.6,"D"
2022-10-12,"20:00","Group stage","Estádio José Alvalade","2022/2023","Sporting CP pt","fr Marseille",0,2,0.3,2.8,"A"
2022-10-12,"20:00","Group stage","Ibrox Stadium","2022/2023","Rangers sct","eng Liverpool",1,7,0.5,2.2,"A"
2022-10-12,"20:00","Group stage","Tottenham Hotspur Stadium","2022/2023","Tottenham eng","de Eint Frankfurt",3,2,3,1.2,"H"
2022-10-12,"21:00","Group stage","Doosan Arena","2022/2023","Viktoria Plzeň cz","de Bayern Munich",2,4,1.2,3,"A"
2022-10-12,"21:00","Group stage","BayArena","2022/2023","Leverkusen de","pt Porto",0,3,2.2,1.8,"A"
2022-10-12,"21:00","Group stage","Camp Nou","2022/2023","Barcelona es","it Inter",3,3,2.2,2,"D"
2022-10-25,"18:45","Group stage","Estadio Ramón Sánchez Pizjuán","2022/2023","Sevilla es","dk FC Copenhagen",3,0,1,1.1,"H"
2022-10-25,"18:45","Group stage","Red Bull Arena","2022/2023","RB Salzburg at","eng Chelsea",1,2,1.6,1.5,"A"
2022-10-25,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2022/2023","Benfica pt","it Juventus",4,3,3.3,2.4,"H"
2022-10-25,"20:00","Group stage","Celtic Park","2022/2023","Celtic sct","ua Shakhtar",1,1,1.4,0.8,"D"
2022-10-25,"21:00","Group stage","Parc des Princes","2022/2023","Paris S-G fr","il Maccabi Haifa",7,2,2.6,0.8,"H"
2022-10-25,"21:00","Group stage","Signal Iduna Park","2022/2023","Dortmund de","eng Manchester City",0,0,1.2,1.2,"D"
2022-10-25,"21:00","Group stage","Red Bull Arena","2022/2023","RB Leipzig de","es Real Madrid",3,2,2.2,2.1,"H"
2022-10-25,"21:00","Group stage","Stadion Maksimir","2022/2023","Dinamo Zagreb hr","it Milan",0,4,0.7,3.2,"A"
2022-10-26,"18:45","Group stage","Jan Breydelstadion","2022/2023","Club Brugge be","pt Porto",0,4,1.4,3.2,"A"
2022-10-26,"18:45","Group stage","Stadio Giuseppe Meazza","2022/2023","Inter it","cz Viktoria Plzeň",4,0,3.2,0.1,"H"
2022-10-26,"20:00","Group stage","Tottenham Hotspur Stadium","2022/2023","Tottenham eng","pt Sporting CP",1,1,1.7,0.8,"D"
2022-10-26,"21:00","Group stage","Deutsche Bank Park","2022/2023","Eint Frankfurt de","fr Marseille",2,1,1.1,0.7,"H"
2022-10-26,"21:00","Group stage","Estadio Cívitas Metropolitano","2022/2023","Atlético Madrid es","de Leverkusen",2,2,2.6,1.5,"D"
2022-10-26,"21:00","Group stage","Camp Nou","2022/2023","Barcelona es","de Bayern Munich",0,3,0.7,2.1,"A"
2022-10-26,"21:00","Group stage","Johan Cruyff ArenA","2022/2023","Ajax nl","eng Liverpool",0,3,1.2,1.6,"A"
2022-10-26,"21:00","Group stage","Stadio Diego Armando Maradona","2022/2023","Napoli it","sct Rangers",3,0,1.8,0.7,"H"
2022-11-01,"17:45","Group stage","Estádio Do Dragão","2022/2023","Porto pt","es Atlético Madrid",2,1,2.7,0.8,"H"
2022-11-01,"18:45","Group stage","BayArena","2022/2023","Leverkusen de","be Club Brugge",0,0,1.1,0.5,"D"
2022-11-01,"20:00","Group stage","Anfield","2022/2023","Liverpool eng","it Napoli",2,0,2.4,0.4,"H"
2022-11-01,"20:00","Group stage","Ibrox Stadium","2022/2023","Rangers sct","nl Ajax",1,3,1.8,1.8,"A"
2022-11-01,"20:00","Group stage","Estádio José Alvalade","2022/2023","Sporting CP pt","de Eint Frankfurt",1,2,0.5,1.2,"A"
2022-11-01,"21:00","Group stage","Orange Vélodrome","2022/2023","Marseille fr","eng Tottenham",1,2,1.4,0.6,"A"
2022-11-01,"21:00","Group stage","Allianz Arena","2022/2023","Bayern Munich de","it Inter",2,0,1.5,0.7,"H"
2022-11-01,"21:00","Group stage","Doosan Arena","2022/2023","Viktoria Plzeň cz","es Barcelona",2,4,2.6,2.3,"A"
2022-11-02,"18:45","Group stage","Estadio Santiago Bernabéu","2022/2023","Real Madrid es","sct Celtic",5,1,3.8,2.1,"H"
2022-11-02,"19:45","Group stage","Stadion Miejski Legii Warszawa im. Marsz...","2022/2023","Shakhtar ua","de RB Leipzig",0,4,0.2,2.2,"A"
2022-11-02,"20:00","Group stage","Etihad Stadium","2022/2023","Manchester City eng","es Sevilla",3,1,2,0.4,"H"
2022-11-02,"20:00","Group stage","Stamford Bridge","2022/2023","Chelsea eng","hr Dinamo Zagreb",2,1,2.7,0.9,"H"
2022-11-02,"21:00","Group stage","Parken","2022/2023","FC Copenhagen dk","de Dortmund",1,1,1.8,1.2,"D"
2022-11-02,"21:00","Group stage","Allianz Stadium","2022/2023","Juventus it","fr Paris S-G",1,2,1.6,0.5,"A"
2022-11-02,"21:00","Group stage","Stadio Giuseppe Meazza","2022/2023","Milan it","at RB Salzburg",4,0,1.8,1.6,"H"
2022-11-02,"22:00","Group stage","Sammy Ofer Stadium","2022/2023","Maccabi Haifa il","pt Benfica",1,6,1.6,1.5,"A"
2023-02-14,"21:00","Round of 16","Parc des Princes","2022/2023","Paris S-G fr","de Bayern Munich",0,1,0.8,1.4,"A"
2023-02-14,"21:00","Round of 16","Stadio Giuseppe Meazza","2022/2023","Milan it","eng Tottenham",1,0,1.7,0.4,"H"
2023-02-15,"21:00","Round of 16","Signal Iduna Park","2022/2023","Dortmund de","eng Chelsea",1,0,1.5,2.1,"H"
2023-02-15,"21:00","Round of 16","Jan Breydelstadion","2022/2023","Club Brugge be","pt Benfica",0,2,0.2,2.9,"A"
