"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2016-12-06,"20:45","Group stage","Allianz Arena","2016/2017","Bayern Munich de","es Atlético Madrid",1,0,NA,NA,"H"
2016-12-06,"21:45","Group stage","NSK Olimpijs'kyj","2016/2017","Dynamo Kyiv ua","tr Beşiktaş",6,0,NA,NA,"H"
2016-12-07,"19:45","Group stage","Wembley Stadium","2016/2017","Tottenham eng","ru CSKA Moscow",3,1,NA,NA,"H"
2016-12-07,"19:45","Group stage","Estádio Do Dragão","2016/2017","Porto pt","eng Leicester City",5,0,NA,NA,"H"
2016-12-07,"20:45","Group stage","Stadion Miejski Legii Warszawa im. Marsz...","2016/2017","Legia Warsaw pl","pt Sporting CP",1,0,NA,NA,"H"
2016-12-07,"20:45","Group stage","Groupama Stadium","2016/2017","Lyon fr","es Sevilla",0,0,NA,NA,"D"
2016-12-07,"20:45","Group stage","Estadio Santiago Bernabéu","2016/2017","Real Madrid es","de Dortmund",2,2,NA,NA,"D"
2016-12-07,"20:45","Group stage","Jan Breydelstadion","2016/2017","Club Brugge be","dk FC Copenhagen",0,2,NA,NA,"A"
2016-12-07,"20:45","Group stage","BayArena","2016/2017","Leverkusen de","fr Monaco",3,0,NA,NA,"H"
2016-12-07,"20:45","Group stage","Allianz Stadium","2016/2017","Juventus it","hr Dinamo Zagreb",2,0,NA,NA,"H"
2017-02-14,"19:45","Round of 16","Estádio do Sport Lisboa e Benfica","2016/2017","Benfica pt","de Dortmund",1,0,NA,NA,"H"
2017-02-14,"20:45","Round of 16","Parc des Princes","2016/2017","Paris S-G fr","es Barcelona",4,0,NA,NA,"H"
2017-02-15,"20:45","Round of 16","Allianz Arena","2016/2017","Bayern Munich de","eng Arsenal",5,1,NA,NA,"H"
2017-02-15,"20:45","Round of 16","Estadio Santiago Bernabéu","2016/2017","Real Madrid es","it Napoli",3,1,NA,NA,"H"
2017-02-21,"19:45","Round of 16","Etihad Stadium","2016/2017","Manchester City eng","fr Monaco",5,3,NA,NA,"H"
2017-02-21,"20:45","Round of 16","BayArena","2016/2017","Leverkusen de","es Atlético Madrid",2,4,NA,NA,"A"
2017-02-22,"19:45","Round of 16","Estádio Do Dragão","2016/2017","Porto pt","it Juventus",0,2,NA,NA,"A"
2017-02-22,"20:45","Round of 16","Estadio Ramón Sánchez Pizjuán","2016/2017","Sevilla es","eng Leicester City",2,1,NA,NA,"H"
2017-03-07,"19:45","Round of 16","Emirates Stadium","2016/2017","Arsenal eng","de Bayern Munich",1,5,NA,NA,"A"
2017-03-07,"20:45","Round of 16","Stadio San Paolo","2016/2017","Napoli it","es Real Madrid",1,3,NA,NA,"A"
2017-03-08,"20:45","Round of 16","Camp Nou","2016/2017","Barcelona es","fr Paris S-G",6,1,NA,NA,"H"
2017-03-08,"20:45","Round of 16","Signal Iduna Park","2016/2017","Dortmund de","pt Benfica",4,0,NA,NA,"H"
2017-03-14,"19:45","Round of 16","King Power Stadium","2016/2017","Leicester City eng","es Sevilla",2,0,NA,NA,"H"
2017-03-14,"20:45","Round of 16","Allianz Stadium","2016/2017","Juventus it","pt Porto",1,0,NA,NA,"H"
2017-03-15,"20:45","Round of 16","Estadio Vicente Calderón","2016/2017","Atlético Madrid es","de Leverkusen",0,0,NA,NA,"D"
2017-03-15,"20:45","Round of 16","Stade Louis II","2016/2017","Monaco fr","eng Manchester City",3,1,NA,NA,"H"
2017-04-11,"20:45","Quarter-finals","Allianz Stadium","2016/2017","Juventus it","es Barcelona",3,0,NA,NA,"H"
2017-04-12,"18:45","Quarter-finals","Signal Iduna Park","2016/2017","Dortmund de","fr Monaco",2,3,NA,NA,"A"
2017-04-12,"20:45","Quarter-finals","Estadio Vicente Calderón","2016/2017","Atlético Madrid es","eng Leicester City",1,0,NA,NA,"H"
2017-04-12,"20:45","Quarter-finals","Allianz Arena","2016/2017","Bayern Munich de","es Real Madrid",1,2,NA,NA,"A"
2017-04-18,"19:45","Quarter-finals","King Power Stadium","2016/2017","Leicester City eng","es Atlético Madrid",1,1,NA,NA,"D"
2017-04-18,"20:45","Quarter-finals","Estadio Santiago Bernabéu","2016/2017","Real Madrid es","de Bayern Munich",4,2,NA,NA,"H"
2017-04-19,"20:45","Quarter-finals","Camp Nou","2016/2017","Barcelona es","it Juventus",0,0,NA,NA,"D"
2017-04-19,"20:45","Quarter-finals","Stade Louis II","2016/2017","Monaco fr","de Dortmund",3,1,NA,NA,"H"
2017-05-02,"20:45","Semi-finals","Estadio Santiago Bernabéu","2016/2017","Real Madrid es","es Atlético Madrid",3,0,NA,NA,"H"
2017-05-03,"20:45","Semi-finals","Stade Louis II","2016/2017","Monaco fr","it Juventus",0,2,NA,NA,"A"
2017-05-09,"20:45","Semi-finals","Allianz Stadium","2016/2017","Juventus it","fr Monaco",2,1,NA,NA,"H"
2017-05-10,"20:45","Semi-finals","Estadio Vicente Calderón","2016/2017","Atlético Madrid es","es Real Madrid",2,1,NA,NA,"H"
2017-06-03,"19:45","Final","National Stadium (Neutral Site)","2016/2017","Juventus it","es Real Madrid",1,4,NA,NA,"A"
2017-09-12,"19:45","Group stage","Stamford Bridge","2017/2018","Chelsea eng","az Qarabağ",6,0,2,0.3,"H"
2017-09-12,"19:45","Group stage","Celtic Park","2017/2018","Celtic sct","fr Paris S-G",0,5,0.4,2.5,"A"
2017-09-12,"19:45","Group stage","Old Trafford","2017/2018","Manchester Utd eng","ch Basel",3,0,3.4,0.6,"H"
2017-09-12,"19:45","Group stage","Estádio do Sport Lisboa e Benfica","2017/2018","Benfica pt","ru CSKA Moscow",1,2,2.1,1.6,"A"
2017-09-12,"20:45","Group stage","Stadio Olimpico","2017/2018","Roma it","es Atlético Madrid",0,0,0.5,2.4,"D"
2017-09-12,"20:45","Group stage","Camp Nou","2017/2018","Barcelona es","it Juventus",3,0,0.9,0.7,"H"
2017-09-12,"20:45","Group stage","Allianz Arena","2017/2018","Bayern Munich de","be Anderlecht",3,0,4.2,0.8,"H"
2017-09-12,"21:45","Group stage","Stadio Georgios Karaiskáki","2017/2018","Olympiacos gr","pt Sporting CP",2,3,1.1,2.6,"A"
2017-09-13,"19:45","Group stage","Estádio Do Dragão","2017/2018","Porto pt","tr Beşiktaş",1,3,1.5,0.9,"A"
2017-09-13,"19:45","Group stage","Anfield","2017/2018","Liverpool eng","es Sevilla",2,2,2.4,1.2,"D"
2017-09-13,"19:45","Group stage","Wembley Stadium","2017/2018","Tottenham eng","de Dortmund",3,1,1.2,0.8,"H"
2017-09-13,"20:45","Group stage","Ljudski vrt","2017/2018","NK Maribor si","ru Spartak Moscow",1,1,1.1,1.8,"D"
2017-09-13,"20:45","Group stage","Stadion Feijenoord","2017/2018","Feyenoord nl","eng Manchester City",0,4,0.3,1.3,"A"
2017-09-13,"20:45","Group stage","Red Bull Arena","2017/2018","RB Leipzig de","fr Monaco",1,1,0.9,1.1,"D"
2017-09-13,"20:45","Group stage","Estadio Santiago Bernabéu","2017/2018","Real Madrid es","cy APOEL FC",3,0,3.9,0.2,"H"
2017-09-13,"21:45","Group stage","L'viv Arena","2017/2018","Shakhtar ua","it Napoli",2,1,1.4,1.9,"H"
2017-09-26,"19:45","Group stage","Academy Stadium","2017/2018","Manchester City eng","ua Shakhtar",2,0,3.2,0.5,"H"
2017-09-26,"20:45","Group stage","Estadio Ramón Sánchez Pizjuán","2017/2018","Sevilla es","si NK Maribor",3,0,3.9,0.4,"H"
2017-09-26,"20:45","Group stage","Signal Iduna Park","2017/2018","Dortmund de","es Real Madrid",1,3,1.2,3.2,"A"
2017-09-26,"20:45","Group stage","Stade Louis II","2017/2018","Monaco fr","pt Porto",0,3,0.6,2.9,"A"
2017-09-26,"20:45","Group stage","Stadio San Paolo","2017/2018","Napoli it","nl Feyenoord",3,1,0.9,1.6,"H"
2017-09-26,"21:45","Group stage","Otkrytie Arena","2017/2018","Spartak Moscow ru","eng Liverpool",1,1,0.2,2.8,"D"
2017-09-26,"21:45","Group stage","Vodafone Arena","2017/2018","Beşiktaş tr","de RB Leipzig",2,0,1,1.1,"H"
2017-09-26,"21:45","Group stage","Neo GSP","2017/2018","APOEL FC cy","eng Tottenham",0,3,1,1.8,"A"
2017-09-27,"19:45","Group stage","Estádio José Alvalade","2017/2018","Sporting CP pt","es Barcelona",0,1,0.7,0.9,"A"
2017-09-27,"20:00","Group stage","Bakı Olimpiya Stadionu","2017/2018","Qarabağ az","it Roma",1,2,0.9,1.9,"A"
2017-09-27,"20:45","Group stage","Estadio Wanda Metropolitano","2017/2018","Atlético Madrid es","eng Chelsea",1,2,1.4,2.5,"A"
2017-09-27,"20:45","Group stage","Allianz Stadium","2017/2018","Juventus it","gr Olympiacos",2,0,2.3,0.5,"H"
2017-09-27,"20:45","Group stage","St. Jakob-Park","2017/2018","Basel ch","pt Benfica",5,0,3.2,0.4,"H"
2017-09-27,"20:45","Group stage","Parc des Princes","2017/2018","Paris S-G fr","de Bayern Munich",3,0,2,1,"H"
2017-09-27,"20:45","Group stage","Stade Constant Vanden Stock","2017/2018","Anderlecht be","sct Celtic",0,3,0.6,1.2,"A"
2017-09-28,"00:45","Group stage","Stadion CSKA","2017/2018","CSKA Moscow ru","eng Manchester Utd",1,4,0.6,4.3,"A"
2017-10-17,"19:45","Group stage","Etihad Stadium","2017/2018","Manchester City eng","it Napoli",2,1,2.7,2.2,"H"
2017-10-17,"20:45","Group stage","Stadion Feijenoord","2017/2018","Feyenoord nl","ua Shakhtar",1,2,1.6,1.3,"A"
2017-10-17,"20:45","Group stage","Stade Louis II","2017/2018","Monaco fr","tr Beşiktaş",1,2,0.7,1.2,"A"
2017-10-17,"20:45","Group stage","Red Bull Arena","2017/2018","RB Leipzig de","pt Porto",3,2,2.5,1.1,"H"
2017-10-17,"20:45","Group stage","Estadio Santiago Bernabéu","2017/2018","Real Madrid es","eng Tottenham",1,1,2.9,0.9,"D"
2017-10-17,"20:45","Group stage","Ljudski vrt","2017/2018","NK Maribor si","eng Liverpool",0,7,0.4,4.6,"A"
2017-10-17,"21:45","Group stage","Otkrytie Arena","2017/2018","Spartak Moscow ru","es Sevilla",5,1,1.7,1.3,"H"
2017-10-17,"21:45","Group stage","Neo GSP","2017/2018","APOEL FC cy","de Dortmund",1,1,1,2.1,"D"
2017-10-18,"19:45","Group stage","Estádio do Sport Lisboa e Benfica","2017/2018","Benfica pt","eng Manchester Utd",0,1,0.5,0.6,"A"
2017-10-18,"19:45","Group stage","Stamford Bridge","2017/2018","Chelsea eng","it Roma",3,3,1.6,1.6,"D"
2017-10-18,"20:00","Group stage","Bakı Olimpiya Stadionu","2017/2018","Qarabağ az","es Atlético Madrid",0,0,0.4,1.9,"D"
2017-10-18,"20:45","Group stage","Camp Nou","2017/2018","Barcelona es","gr Olympiacos",3,1,3.5,0.2,"H"
2017-10-18,"20:45","Group stage","Stade Constant Vanden Stock","2017/2018","Anderlecht be","fr Paris S-G",0,4,1.2,3.3,"A"
2017-10-18,"20:45","Group stage","Allianz Arena","2017/2018","Bayern Munich de","sct Celtic",3,0,3.2,0.6,"H"
2017-10-18,"20:45","Group stage","Allianz Stadium","2017/2018","Juventus it","pt Sporting CP",2,1,1.5,0.5,"H"
2017-10-18,"21:45","Group stage","VEB Arena","2017/2018","CSKA Moscow ru","ch Basel",0,2,0.4,1.4,"A"
2017-10-31,"19:45","Group stage","Celtic Park","2017/2018","Celtic sct","de Bayern Munich",1,2,1.4,0.7,"A"
2017-10-31,"19:45","Group stage","Estádio José Alvalade","2017/2018","Sporting CP pt","it Juventus",1,1,0.5,2,"D"
2017-10-31,"19:45","Group stage","Old Trafford","2017/2018","Manchester Utd eng","pt Benfica",2,0,2.7,0.9,"H"
2017-10-31,"20:45","Group stage","Parc des Princes","2017/2018","Paris S-G fr","be Anderlecht",5,0,2.6,0.2,"H"
2017-10-31,"20:45","Group stage","Estadio Wanda Metropolitano","2017/2018","Atlético Madrid es","az Qarabağ",1,1,3.2,0.2,"D"
2017-10-31,"20:45","Group stage","Stadio Olimpico","2017/2018","Roma it","eng Chelsea",3,0,1.5,1.3,"H"
2017-10-31,"20:45","Group stage","St. Jakob-Park","2017/2018","Basel ch","ru CSKA Moscow",1,2,1.2,1.3,"A"
2017-10-31,"21:45","Group stage","Stadio Georgios Karaiskáki","2017/2018","Olympiacos gr","es Barcelona",0,0,0.3,1.8,"D"
2017-11-01,"19:45","Group stage","Wembley Stadium","2017/2018","Tottenham eng","es Real Madrid",3,1,2.3,2.2,"H"
2017-11-01,"19:45","Group stage","Estádio Do Dragão","2017/2018","Porto pt","de RB Leipzig",3,1,1.8,0.6,"H"
2017-11-01,"19:45","Group stage","Anfield","2017/2018","Liverpool eng","si NK Maribor",3,0,2.7,0.3,"H"
2017-11-01,"20:00","Group stage","Vodafone Arena","2017/2018","Beşiktaş tr","fr Monaco",1,1,1.3,1,"D"
2017-11-01,"20:45","Group stage","Estadio Ramón Sánchez Pizjuán","2017/2018","Sevilla es","ru Spartak Moscow",2,1,0.9,1.2,"H"
2017-11-01,"20:45","Group stage","Fußballpark BVB Hohenbuschei","2017/2018","Dortmund de","cy APOEL FC",1,1,2.8,0.6,"D"
2017-11-01,"20:45","Group stage","Stadio San Paolo","2017/2018","Napoli it","eng Manchester City",2,4,2.1,1.4,"A"
2017-11-01,"21:45","Group stage","Oblasny SportKomplex Metalist","2017/2018","Shakhtar ua","nl Feyenoord",3,1,2.6,1,"H"
2017-11-21,"19:45","Group stage","Etihad Stadium","2017/2018","Manchester City eng","nl Feyenoord",1,0,1.3,0.3,"H"
2017-11-21,"20:00","Group stage","Vodafone Arena","2017/2018","Beşiktaş tr","pt Porto",1,1,0.7,0.7,"D"
2017-11-21,"20:00","Group stage","Otkrytie Arena","2017/2018","Spartak Moscow ru","si NK Maribor",1,1,1.4,1.2,"D"
2017-11-21,"20:45","Group stage","Estadio Ramón Sánchez Pizjuán","2017/2018","Sevilla es","eng Liverpool",3,3,1.9,2.3,"D"
2017-11-21,"20:45","Group stage","Stadio San Paolo","2017/2018","Napoli it","ua Shakhtar",3,0,1.9,0.5,"H"
