Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Team,2024-07-10,19:00 (22:30),First qualifying round,Wed,Home,W,4,2
53,18,Jáder Durán,co COL,FW,20.0,7.0,1.0,241.0,2.7,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.0,3.0,5.0,16.0,Aston Villa,,,,,,,,
54,19,Axel Disasi,fr FRA,DF,26.0,3.0,1.0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,2.0,Aston Villa,,,,,,,,
55,20,Jaden Philogene Bidace,eng ENG,FW,22.0,3.0,1.0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,5.0,Aston Villa,,,,,,,,
56,21,Emi Buendía,ar ARG,"FW,MF",27.0,4.0,1.0,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,6.0,10.0,Aston Villa,,,,,,,,
57,22,Marco Asensio,es ESP,MF,28.0,4.0,0.0,129.0,1.4,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,2.2,0.1,2.3,3.0,5.0,4.0,Aston Villa,,,,,,,,
58,23,Ross Barkley,eng ENG,MF,30.0,6.0,0.0,103.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,6.0,0.0,Aston Villa,,,,,,,,
59,24,Kosta Nedeljković,rs SRB,"FW,DF",18.0,2.0,0.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Aston Villa,,,,,,,,
60,25,Joe Gauci,au AUS,GK,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,Aston Villa,,,,,,,,
61,26,Robin Olsen,se SWE,GK,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,Aston Villa,,,,,,,,
62,27,Travis Patterson,eng ENG,DF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,Aston Villa,,,,,,,,
63,28,Sam Proctor,eng ENG,GK,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,Aston Villa,,,,,,,,
64,29,Sil Swinkels,nl NED,DF,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Aston Villa,,,,,,,,
