"date","season","home_team","away_team","home_goals","away_goals","result"
2018-11-06,"2018/2019","Napoli it","fr Paris S-G",1,1,"D"
2018-11-06,"2018/2019","Schalke 04 de","tr Galatasaray",2,0,"H"
2018-11-06,"2018/2019","Atlético Madrid es","de Dortmund",2,0,"H"
2018-11-06,"2018/2019","Inter it","es Barcelona",1,1,"D"
2018-11-07,"2018/2019","Valencia es","ch Young Boys",3,1,"H"
2018-11-07,"2018/2019","Benfica pt","nl Ajax",1,1,"D"
2018-11-07,"2018/2019","Manchester City eng","ua Shakhtar",6,0,"H"
2018-11-07,"2018/2019","CSKA Moscow ru","it Roma",1,2,"A"
2018-11-07,"2018/2019","Viktoria Plzeň cz","es Real Madrid",0,5,"A"
2018-11-07,"2018/2019","Bayern Munich de","gr AEK Athens",2,0,"H"
2018-11-07,"2018/2019","Lyon fr","de Hoffenheim",2,2,"D"
2018-11-07,"2018/2019","Juventus it","eng Manchester Utd",1,2,"A"
2018-11-27,"2018/2019","AEK Athens gr","nl Ajax",0,2,"A"
2018-11-27,"2018/2019","Manchester Utd eng","ch Young Boys",1,0,"H"
2018-11-27,"2018/2019","CSKA Moscow ru","cz Viktoria Plzeň",1,2,"A"
2018-11-27,"2018/2019","Roma it","es Real Madrid",0,2,"A"
2018-11-27,"2018/2019","Juventus it","es Valencia",1,0,"H"
2018-11-27,"2018/2019","Lyon fr","eng Manchester City",2,2,"D"
2018-11-27,"2018/2019","Hoffenheim de","ua Shakhtar",2,3,"A"
2018-11-27,"2018/2019","Bayern Munich de","pt Benfica",5,1,"H"
2018-11-28,"2018/2019","Atlético Madrid es","fr Monaco",2,0,"H"
2018-11-28,"2018/2019","Tottenham eng","it Inter",1,0,"H"
2018-11-28,"2018/2019","Porto pt","de Schalke 04",3,1,"H"
2018-11-28,"2018/2019","Loko Moscow ru","tr Galatasaray",2,0,"H"
2018-11-28,"2018/2019","Paris S-G fr","eng Liverpool",2,1,"H"
2018-11-28,"2018/2019","Dortmund de","be Club Brugge",0,0,"D"
2018-11-28,"2018/2019","Napoli it","rs Red Star",3,1,"H"
2018-11-28,"2018/2019","PSV Eindhoven nl","es Barcelona",1,2,"A"
2018-12-11,"2018/2019","Schalke 04 de","ru Loko Moscow",1,0,"H"
2018-12-11,"2018/2019","Liverpool eng","it Napoli",1,0,"H"
2018-12-11,"2018/2019","Galatasaray tr","pt Porto",2,3,"A"
2018-12-11,"2018/2019","Red Star rs","fr Paris S-G",1,4,"A"
2018-12-11,"2018/2019","Monaco fr","de Dortmund",0,2,"A"
2018-12-11,"2018/2019","Club Brugge be","es Atlético Madrid",0,0,"D"
2018-12-11,"2018/2019","Barcelona es","eng Tottenham",1,1,"D"
2018-12-11,"2018/2019","Inter it","nl PSV Eindhoven",1,1,"D"
2018-12-12,"2018/2019","Viktoria Plzeň cz","it Roma",2,1,"H"
2018-12-12,"2018/2019","Real Madrid es","ru CSKA Moscow",0,3,"A"
2018-12-12,"2018/2019","Manchester City eng","de Hoffenheim",2,1,"H"
2018-12-12,"2018/2019","Benfica pt","gr AEK Athens",1,0,"H"
2018-12-12,"2018/2019","Valencia es","eng Manchester Utd",2,1,"H"
2018-12-12,"2018/2019","Young Boys ch","it Juventus",2,1,"H"
2018-12-12,"2018/2019","Ajax nl","de Bayern Munich",3,3,"D"
2018-12-12,"2018/2019","Shakhtar ua","fr Lyon",1,1,"D"
2019-02-12,"2018/2019","Manchester Utd eng","fr Paris S-G",0,2,"A"
2019-02-12,"2018/2019","Roma it","pt Porto",2,1,"H"
2019-02-13,"2018/2019","Tottenham eng","de Dortmund",3,0,"H"
2019-02-13,"2018/2019","Ajax nl","es Real Madrid",1,2,"A"
2019-02-19,"2018/2019","Liverpool eng","de Bayern Munich",0,0,"D"
2019-02-19,"2018/2019","Lyon fr","es Barcelona",0,0,"D"
2019-02-20,"2018/2019","Schalke 04 de","eng Manchester City",2,3,"A"
2019-02-20,"2018/2019","Atlético Madrid es","it Juventus",2,0,"H"
2019-03-05,"2018/2019","Real Madrid es","nl Ajax",1,4,"A"
2019-03-05,"2018/2019","Dortmund de","eng Tottenham",0,1,"A"
2019-03-06,"2018/2019","Porto pt","it Roma",3,1,"H"
2019-03-06,"2018/2019","Paris S-G fr","eng Manchester Utd",1,3,"A"
2019-03-12,"2018/2019","Manchester City eng","de Schalke 04",7,0,"H"
2019-03-12,"2018/2019","Juventus it","es Atlético Madrid",3,0,"H"
2019-03-13,"2018/2019","Barcelona es","fr Lyon",5,1,"H"
2019-03-13,"2018/2019","Bayern Munich de","eng Liverpool",1,3,"A"
2019-04-09,"2018/2019","Liverpool eng","pt Porto",2,0,"H"
